timestamp,id,rating,course_2,course_3,is_mi_student,is_ml_student,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,blended
2023-05-18 22:14:40,f98ac9a12b43a53c0fa44491cb56890c,1147,41,,,,Байесовские методы машинного обучения,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга,Обучение с подкреплением,Компьютерное зрение,Генеративные модели в машинном обучении,Да,0.528985507246377,DevOps
2023-05-18 22:15:28,d9c068e5578253c2b0721558dd0813e1,1075,44,,,,Statistical Learning Theory,Анализ неструктурированных данных,Принятие решений в условиях риска и неопределённости,Конфликты и кооперация,Обучение с подкреплением,Символьные вычисления,Да,0.807971014492754,DevOps
2023-05-18 22:16:05,eb1d7205d913319ef3d48e0719839849,1127,42,,,,Безопасность компьютерных систем,Байесовские методы машинного обучения,Statistical Learning Theory,Обучение с подкреплением,Символьные вычисления,Генеративные модели в машинном обучении,Да,0.608695652173913,DevOps
2023-05-18 22:20:02,67e4ec4fe5c0601815692fbd6d403fb7,1335,41,,,,Байесовские методы машинного обучения,Глубинное обучение в обработке звука,Statistical Learning Theory,Обучение с подкреплением,Проектирование и разработка высоконагруженных сервисов,Генеративные модели в машинном обучении,Да,0.144927536231884,DevOps
2023-05-18 22:39:55,7af276b31fb741aa81baa85aa5c82bd9,1158,46,,,,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Байесовские методы машинного обучения,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Генеративные модели в машинном обучении,Да,0.513456345435246,DevOps
2023-05-18 22:40:28,d9c068e5578253c2b0721558dd0813e1,1075,44,,,,Анализ неструктурированных данных,Statistical Learning Theory,Принятие решений в условиях риска и неопределённости,Конфликты и кооперация,Обучение с подкреплением,Символьные вычисления,Нет,0.807971014492754,DevOps
2023-05-18 22:40:32,338374a0f16d72f8c9066ca658c1ee04,1104,44,,,,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга,Глубинное обучение в обработке звука,Обучение с подкреплением,Генеративные модели в машинном обучении,Компьютерное зрение,Да,0.681159420289855,DevOps
2023-05-18 22:43:00,dc7f705ae386b0457542a833571d51d0,1307,43,,,,Высокопроизводительные вычисления,Моделирование временных рядов,Байесовские методы машинного обучения,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Обучение с подкреплением,Нет,0.434782608695652,DevOps
2023-05-18 22:43:06,de539be8b29b3afa002184e28d63c670,1015,43,,,,Анализ неструктурированных данных,Безопасность компьютерных систем,Глубинное обучение в обработке звука,Обучение с подкреплением,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Да,0.949275362318841,DevOps
2023-05-18 22:44:24,1d30f1c70a51faa60f497fe959851731,1197,41,,,,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Сбор и обработка данных с помощью краудсорсинга,Обучение с подкреплением,Генеративные модели в машинном обучении,Компьютерное зрение,Да,0.355072463768116,Соревновательный анализ данных
2023-05-18 22:52:12,d9133abde61da78a0b956af5dad1228a,1223,41,,,,Байесовские методы машинного обучения,Сбор и обработка данных с помощью краудсорсинга,Анализ неструктурированных данных,Обучение с подкреплением,Генеративные модели в машинном обучении,Компьютерное зрение,Да,0.231884057971015,DevOps
2023-05-18 22:52:40,b243a77fa09641c7f0a0b7dfb7a541df,1294,45,,,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Моделирование временных рядов,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Численные методы,Нет,0.652173913043478,DevOps
2023-05-18 22:55:44,6a93fcbc79d0df6ddeba3b46739fc3d8,1286,41,,,,Глубинное обучение в обработке звука,Анализ неструктурированных данных,Моделирование временных рядов,Компьютерное зрение,Генеративные модели в машинном обучении,Обучение с подкреплением,Да,0.797101449275363,Соревновательный анализ данных
2023-05-18 22:59:48,50f6d5b6a7fd6c8b1b8959f9ce1f808d,1086,44,,,,Глубинное обучение в обработке звука,Анализ неструктурированных данных,Моделирование временных рядов,Обучение с подкреплением,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Да,0.764492753623189,DevOps
2023-05-18 23:01:20,ba028043babda44219f3346809874ca3,1174,45,,,,Безопасность компьютерных систем,Глубинное обучение в обработке звука,Сбор и обработка данных с помощью краудсорсинга,Проектирование и разработка высоконагруженных сервисов,Компьютерное зрение,Обучение с подкреплением,Да,0.427536231884058,DevOps
2023-05-18 23:01:39,01b072a0cdb45814fc4ab8ca3e621f0e,1058,43,,,,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга,Моделирование временных рядов,Обучение с подкреплением,Компьютерное зрение,Символьные вычисления,Да,0.847826086956522,Соревновательный анализ данных
2023-05-18 23:01:42,842a87d59de90b711fe3266830fe608c,1188,45,,,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Безопасность компьютерных систем,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Компьютерное зрение,Нет,0.384057971014493,DevOps
2023-05-18 23:04:29,1021c681cf4b273ed4905d431e4c17ce,1165,44,,,,Сбор и обработка данных с помощью краудсорсинга,Принятие решений в условиях риска и неопределённости,Анализ неструктурированных данных,Конфликты и кооперация,Численные методы,Символьные вычисления,Да,0.463768115942029,Введение в дифференциальную геометрию
2023-05-18 23:07:14,7378a3c0caf8ce5fdbb1e4370b346cb7,1043,44,,,,Глубинное обучение в обработке звука,Моделирование временных рядов,Безопасность компьютерных систем,Методы сжатия и передачи медиаданных,Компьютерное зрение,Обучение с подкреплением,Да,0.891304347826087,DevOps
2023-05-18 23:10:45,07b6ce7fd93bde95ce5fe14a5131a960,1160,46,,,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Конфликты и кооперация,Да,0.485507246376812,DevOps
2023-05-18 23:12:29,d539461bf254cf8b3201cdf7990b119e,964,44,,,,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Statistical Learning Theory,Обучение с подкреплением,Компьютерное зрение,Проектирование и разработка высоконагруженных сервисов,Да,0.992753623188406,DevOps
2023-05-18 23:13:30,085da16dd3062b4790c3dabdc08a51cf,1048,46,,,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Да,0.876811594202899,DevOps
2023-05-18 23:24:48,50f6d5b6a7fd6c8b1b8959f9ce1f808d,1086,44,,,,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Моделирование временных рядов,Обучение с подкреплением,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Нет,0.764492753623189,DevOps
2023-05-18 23:25:14,31e38f7596f83b72ebba1c6fc6b7a590,1220,46,,,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Нет,0.239130434782609,DevOps
2023-05-18 23:29:38,b42de1b3235e9e84b43f38ff282cdfb9,1219,45,,,,Высокопроизводительные вычисления,Байесовские методы машинного обучения,Анализ неструктурированных данных,Обучение с подкреплением,Символьные вычисления,Компьютерное зрение,Да,0.246376811594203,DevOps
2023-05-18 23:38:24,b65194fec33b2358296f74f6d948efdf,1268,45,,,,Высокопроизводительные вычисления,Глубинное обучение в обработке звука,Моделирование временных рядов,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Да,0.123188405797101,DevOps
2023-05-18 23:43:02,b739739c7080a6e15f962c3863021855,1003,44,,,,Анализ неструктурированных данных,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Конфликты и кооперация,Методы сжатия и передачи медиаданных,Компьютерное зрение,Да,0.956521739130435,Соревновательный анализ данных
2023-05-18 23:44:56,bb29d9b9230528a4873f91abce2095b8,1313,45,,,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Анализ неструктурированных данных,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Символьные вычисления,Да,0.362318840579711,DevOps
2023-05-18 23:54:25,cef24632489091cb8c085688b7d78dec,1095,42,,,,Глубинное обучение в обработке звука,Сбор и обработка данных с помощью краудсорсинга,Анализ неструктурированных данных,Обучение с подкреплением,Генеративные модели в машинном обучении,Компьютерное зрение,Нет,0.717391304347826,Соревновательный анализ данных
2023-05-18 23:56:39,bb9bbd259ab6b8170a7dc6fb35695d13,1285,45,,,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Высокопроизводительные вычисления,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Да,0.869565217391305,DevOps
2023-05-18 23:58:07,2c0a8cb6662b9a0a0a5d2d1214442767,1107,42,,,,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Моделирование временных рядов,Обучение с подкреплением,Компьютерное зрение,Конфликты и кооперация,Да,0.666666666666667,Соревновательный анализ данных
