timestamp,id,rating,course_2,course_3,is_mi_student,is_ml_student,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,blended,is_first_place,is_last_place
2020-05-18 23:10:45.547,07b6ce7fd93bde95ce5fe14a5131a960,1160,,46,0.0,0.0,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Конфликты и кооперация,Да,0.4855072463768116,DevOps,,
2020-05-18 23:12:29.049,d539461bf254cf8b3201cdf7990b119e,964,,44,0.0,0.0,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Statistical Learning Theory,Обучение с подкреплением,Компьютерное зрение,Проектирование и разработка высоконагруженных сервисов,Да,0.9927536231884058,DevOps,,True
2020-05-18 23:13:30.565,085da16dd3062b4790c3dabdc08a51cf,1048,,46,0.0,0.0,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Да,0.8768115942028986,DevOps,,
2020-05-18 23:24:48.715,50f6d5b6a7fd6c8b1b8959f9ce1f808d,1086,,44,0.0,0.0,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Моделирование временных рядов,Обучение с подкреплением,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Нет,0.7644927536231885,DevOps,,
2020-05-18 23:25:14.521,31e38f7596f83b72ebba1c6fc6b7a590,1220,,46,0.0,0.0,Безопасность компьютерных систем,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Нет,0.2391304347826086,DevOps,,
2020-05-18 23:29:38.455,b42de1b3235e9e84b43f38ff282cdfb9,1219,,45,0.0,0.0,Высокопроизводительные вычисления,Байесовские методы машинного обучения,Анализ неструктурированных данных,Обучение с подкреплением,Символьные вычисления,Компьютерное зрение,Да,0.2463768115942029,DevOps,,
2020-05-18 23:38:24.795,b65194fec33b2358296f74f6d948efdf,1268,,45,0.0,0.0,Высокопроизводительные вычисления,Глубинное обучение в обработке звука,Моделирование временных рядов,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Да,0.1231884057971014,DevOps,,
2020-05-18 23:43:02.409,b739739c7080a6e15f962c3863021855,1003,,44,0.0,0.0,Анализ неструктурированных данных,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Конфликты и кооперация,Методы сжатия и передачи медиаданных,Компьютерное зрение,Да,0.9565217391304348,Соревновательный анализ данных,,
2020-05-18 23:44:56.517,bb29d9b9230528a4873f91abce2095b8,1313,,45,0.0,0.0,Безопасность компьютерных систем,Высокопроизводительные вычисления,Анализ неструктурированных данных,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Символьные вычисления,Да,0.03623188405797106,DevOps,,
2020-05-18 23:54:25.376,cef24632489091cb8c085688b7d78dec,1095,,42,0.0,0.0,Глубинное обучение в обработке звука,Сбор и обработка данных с помощью краудсорсинга,Анализ неструктурированных данных,Обучение с подкреплением,Генеративные модели в машинном обучении,Компьютерное зрение,Нет,0.7173913043478262,Соревновательный анализ данных,,
